chave,categoria,proposta
:count campo(s) alterado(s),placeholder,
:reference — :equipment (:priority),placeholder,
A autenticação é processada de forma segura e imediata.,texto-geral,
A decisão deve ser aprovar (approve) ou rejeitar (reject).,texto-geral,
A decisão sobre o orçamento é obrigatória.,texto-geral,
A ler indicadores analíticos em tempo real...,texto-geral,
ADICIONAR ITEM,texto-geral,
API,sigla-tecnico,
AVISO:,texto-geral,
Aberta,texto-geral,
Aberto,texto-geral,
Abertura,texto-geral,
Abrir Novo Ticket,texto-geral,
Abrir menu,texto-geral,
Acesso Condicionado,texto-geral,
Acesso Proibido,texto-geral,
Acesso direto,texto-geral,
Acesso proibido para o perfil,texto-geral,
Acesso seguro,texto-geral,
Adicionar peça,texto-geral,
Admin,sigla-tecnico,
Administrador,sigla-tecnico,
Administração por página,texto-geral,
Afixar,texto-geral,
Agenda,texto-geral,
Agenda Inteligente,texto-geral,
Agendar Manutenção Preventiva,texto-geral,
Agendar Preventiva,texto-geral,
Aguardar Validação Orçamental,texto-geral,
Ajuste,texto-geral,
Ajuste de inventário,texto-geral,
Aloque equipamentos através da gestão de equipamentos.,texto-geral,
Alta,texto-geral,
Alterar Idioma,texto-geral,
Alterar formato de data,texto-geral,
Alterar formato de hora,texto-geral,
Alterar formato de números,texto-geral,
Alterar idioma,texto-geral,
Alterar idioma e região,texto-geral,
Alterar moeda,texto-geral,
Alteração,texto-geral,
Alteração Manual de Prioridade,texto-geral,
Alternar Tema,texto-geral,
América do Norte,texto-geral,
América do Sul,texto-geral,
Analytics,sigla-tecnico,
Anexo adicionado,texto-geral,
Anexo não encontrado para este ticket.,texto-geral,
Anexos,texto-geral,
Anterior,texto-geral,
"Ao enviar, receberá um número de referência para acompanhar o estado da intervenção.",texto-geral,
Aparência do Painel,sigla-tecnico,
Apenas tickets fechados ou cancelados podem ser reabertos.,texto-geral,
"Apenas tickets no estado ""Aberto"" podem ser cancelados.",texto-geral,
"Apenas tickets no estado ""Aberto"" podem ser iniciados.",texto-geral,
Aplicação,opcional-br,aplicativo
Aprovado,texto-geral,
Aprovar,texto-geral,
Aprovação Orçamental,texto-geral,
Arraste para reagendar,texto-geral,
Arraste um evento para reagendar.,texto-geral,
Array (teste),texto-geral,
As superfícies e as bordas estruturam a hierarquia visual sem depender de cor.,texto-geral,
Associe fornecedores através da edição da peça.,texto-geral,
Associe o equipamento a uma sala através da edição.,texto-geral,
Assumir Ocorrência,texto-geral,
Atenção: Tickets Prioritários,texto-geral,
Ativa,texto-geral,
Atividade Recente,texto-geral,
Ativo,texto-geral,
Ativos,texto-geral,
Atribuir Técnico,texto-geral,
Atribuição Automática,texto-geral,
Atribuição Automática (IA),sigla-tecnico,
Atribuição de Técnico,texto-geral,
Atualiza um fornecedor.,texto-geral,
Atualiza um plano de manutenção preventiva.,texto-geral,
Atualiza uma categoria.,texto-geral,
Atualiza uma peça.,texto-geral,
Atualiza uma taxa de IVA.,texto-geral,
Atualizar categoria de peças,texto-geral,
Atualizar fornecedor,texto-geral,
Atualizar peça,texto-geral,
Atualizar plano de manutenção preventiva,texto-geral,
Atualizar taxa de IVA,texto-geral,
Atualização,texto-geral,
Atualize os dados da peça :sku.,placeholder,
Atualize os dados do fornecedor :name.,placeholder,
Auditoria,texto-geral,
Auditoria do Sistema,sigla-tecnico,
Autenticação,texto-geral,
Autenticação baseada em Token JWT,sigla-tecnico,
Autenticação necessária,texto-geral,
Autenticação necessária.,texto-geral,
Autenticação necessária. Envie X-Auth-Token no cabeçalho.,sigla-tecnico,
Autenticação necessária. Envie o token de autenticação no cabeçalho.,texto-geral,
Autorizado,texto-geral,
Autorizar,texto-geral,
Avaliação Orçamental Detalhada,texto-geral,
Avaria,opcional-br,defeito
